AREA	BALDE	FICHEIRO	LINHA	TERMO	TRECHO
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CardLance.jsx	82	lance	// Cache do token de auth (10 min) — evita popup de signMessage a cada lance
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	90	Leilao	const isProgramado = tipoLeilao === "programado";
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CardLance.jsx	97	lance	// e o clique converte automaticamente antes do lance.
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/components/CardLance.jsx	120	lance	const resp = await fetch("/.netlify/functions/auth-lance", {
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	138	Lance	async function handleDarLance() {
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	142	Lance	const valorCentavos = sanitizeLance(valor);
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CardLance.jsx	173	lance	// MC91.11 — programado em mainnet: garante senha antes do lance.
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CardLance.jsx	204	lance	// 3. Chamar lance-relampago com auth + idempotência
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/components/CardLance.jsx	206	lance	const resp = await fetch("/.netlify/functions/lance-relampago", {
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	232	lance	throw new Error(msgMap[data?.error?.code] ?? data?.error?.message ?? "Erro no lance relâmpago.");
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	234	Lance	registrarLance(address);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	235	lance	setUltimaTx(data.lanceId);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	242	LanceS	onLanceSucesso?.({ address, valorCentavos, txHash: data.lanceId, nomeExibicao: userLabel || null });
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	242	lance	onLanceSucesso?.({ address, valorCentavos, txHash: data.lanceId, nomeExibicao: userLabel || null });
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	248	Lance	const hash = await hashLance(address, edicaoSanitizada, valorCentavos);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	256	Lance	await assinarLance(signer, edicaoSanitizada, valorCentavos);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	259	Lance	const receipt = await enviarLance(signer, CONTRATO_SEPOLIA, edicaoSanitizada, valorCentavos);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	261	Lance	registrarLance(address);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	266	LanceS	onLanceSucesso?.({ address, valorCentavos, txHash: receipt.hash, nomeExibicao: userLabel || null });
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	274	Lance	"Lance minimo e R$ 0,01":             "Lance mínimo é R$ 0,01 (Art. 27).",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	274	Lance	"Lance minimo e R$ 0,01":             "Lance mínimo é R$ 0,01 (Art. 27).",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	342	lance	{ f: FASES.ENVIANDO,    label: "Registrando lance blindado · −1 senha..." },
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	356	Lance	: "🎫 Confirmar Lance (−1 senha)"
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	357	Lance	: "⚡ Lance Relâmpago";
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	360	Leilao	if (recursosCarregando || !isLeilaoAtivo) {
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	380	Lance	<h3 style={estilos.titulo}>🎯 Dar Lance</h3>
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	416	Lance	? "Lance programado consome 1 senha (Art. 20: R$ 2,00) — sem senha, o app converte R$ 2,00 do saldo automaticamente."
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	417	lance	: "DesafioGUT Flash · 30 min · debita saldo R$ · menor lance único vence (Art. 8)."}
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	422	lance	<label style={estilos.labelInput}>Valor do lance (em centavos)</label>
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	436	lances	<p style={estilos.hintInput}>Art. 27: Mín R$ 0,01 · Máx 5 lances/min · Cooldown 3s</p>
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	456	Lance	{isProgramado ? "🎫 Lance registrado! (−1 senha)" : "✅ Lance registrado!"}
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	456	Lance	{isProgramado ? "🎫 Lance registrado! (−1 senha)" : "✅ Lance registrado!"}
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	484	lance	repetir-se dentro do formulário de lance. */}
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	494	lances	? `${est.icone} Edição encerrada — novos lances bloqueados`
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/CardLance.jsx	495	lances	: `${est.icone} ${est.rotuloLongo} — lances ainda não abertos`;
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CardLance.jsx	535	lance	// whileHover por spring. onClick/disabled/title/label e TODA a lógica de lance
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CardLance.jsx	536	Lance	// (handleDarLance) ficam intactos (R1 — fluxo on-chain não alterado).
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	539	Lance	...estilos.botaoLance,
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	543	Lance	onClick={handleDarLance}
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	555	Lance	🔒 Lance protegido e sanitizado
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/CardLance.jsx	588	Lance	botaoLance:       { padding: "0.9rem", background: "linear-gradient(135deg,#f5a623,#e89400)", color: "#0a0f1a", border: "none", borderRadius: "28px", fontSize: "1rem", fo
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/CarrosselGUTO.jsx	181	lances	// quando o Dashboard re-renderiza (saldo/lances) e não perturba a máquina de crossfade.
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/ChatbotWidget.jsx	84	lance	lance_unico:          { titulo: "🎯 Lance único!",         bg: "rgba(0,200,83,0.12)",   borda: "rgba(0,200,83,0.45)",  barra: "#00c853" },
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/ChatbotWidget.jsx	84	Lance	lance_unico:          { titulo: "🎯 Lance único!",         bg: "rgba(0,200,83,0.12)",   borda: "rgba(0,200,83,0.45)",  barra: "#00c853" },
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/ChatbotWidget.jsx	99	lance	lance_invalido:    "notificacao",
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/ChatbotWidget.jsx	101	lance	lance_unico:          "lance_unico",
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/components/ChatbotWidget.jsx	101	lance	lance_unico:          "lance_unico",
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/ChatbotWidget.jsx	467	lances	SISTEMA PAUSADO — novos lances estão temporariamente bloqueados.
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/ComprarFichasModal.jsx	308	Lance	<p style={subTitulo}>Saldo R$ disponível para Lance Relâmpago ou troca por senhas</p>
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/ComprarFichasModal.jsx	547	Lance	💡 Para participar de Lance Programado, use <strong>Trocar R$ por Senhas</strong> na carteira (R$ 2,00 = 1 senha on-chain).
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/Confetti.jsx	2	Leilao	// Extraído verbatim das definições locais IDÊNTICAS em FimLeilaoOverlay.jsx e
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/Confetti.jsx	3	Lances	// MercadoLances.jsx (overlay de vencedor). Mesma saída visual (70 peças, mesmas
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/ExcluirContaModal.jsx	23	lances	"Saldo de senhas e lances já registrados na blockchain são imutáveis e não podem ser apagados (identificados apenas pela carteira).",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/ExcluirContaModal.jsx	87	lances	removidos</strong> (saldo em R$, senhas, histórico de lances e perfil).
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/FimLeilaoOverlay.jsx	1	leilão	// MC16 — Overlay de fim de leilão compartilhado entre Dashboard e MercadoLances.
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/FimLeilaoOverlay.jsx	1	Lances	// MC16 — Overlay de fim de leilão compartilhado entre Dashboard e MercadoLances.
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/FimLeilaoOverlay.jsx	11	Leilao	export default function FimLeilaoOverlay({ vencedor, tipoLeilao, onNovaRodada, EDICAO_ATIVA }) {
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/FimLeilaoOverlay.jsx	11	Leilao	export default function FimLeilaoOverlay({ vencedor, tipoLeilao, onNovaRodada, EDICAO_ATIVA }) {
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/FimLeilaoOverlay.jsx	42	LEILÃO	}}>LEILÃO ENCERRADO</h2>
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/FimLeilaoOverlay.jsx	46	Leilao	{" · "}{tipoLeilao === "flash" ? "⚡ Relâmpago" : "🎫 Programado"}
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/FimLeilaoOverlay.jsx	61	lance	Nenhum lance único registrado.
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/glass/AuctionStatusBar.jsx	1	Lances	// MC66 — AuctionStatusBar extraída de MercadoLances.jsx (Secção 3 do Glass).
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/glass/AuctionStatusBar.jsx	5	leilão	// fim de leilão num ecrã que, ao lado, diz que o leilão ainda não abriu.
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/glass/AuctionStatusBar.jsx	5	leilão	// fim de leilão num ecrã que, ao lado, diz que o leilão ainda não abriu.
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/glass/AuctionStatusBar.jsx	28	lances	}}>{est.icone} {est.rotuloLongo} — novos lances bloqueados</span>
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/glass/AuthArea.jsx	1	Lances	// MC66 — AuthArea extraída de MercadoLances.jsx (sem mudança de comportamento).
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/glass/ComingSoonHero.jsx	2	Lances	// vivo na aba Lances. "EM BREVE" é permanente (decisão MC65), então não há contagem.
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/glass/ComingSoonHero.jsx	10	Leilão	aria-label={`Leilão em breve — edição ${edicao || "R-1"}`}
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/glass/ComingSoonHero.jsx	50	leilão	{/* Regra do leilão */}
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/glass/ComingSoonHero.jsx	55	lance	}}>Menor lance único vence · Art. 8</p>
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/glass/GlassHeader.jsx	1	Lances	// MC66 — GlassHeader (Direção C): compositor do Glass superior da aba Lances.
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/glass/GlassHeader.jsx	4	Lances	// de MercadoLances.jsx (remove o cronômetro vivo e o <div/> espaçador vazio).
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/glass/GlassHeader.jsx	14	Leilao	tipoLeilao, setTipoLeilao, encerrado, edicao,
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/glass/GlassHeader.jsx	14	Leilao	tipoLeilao, setTipoLeilao, encerrado, edicao,
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/glass/GlassHeader.jsx	50	Leilao	<ModeSelector tipoLeilao={tipoLeilao} setTipoLeilao={setTipoLeilao} />
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/glass/GlassHeader.jsx	50	Leilao	<ModeSelector tipoLeilao={tipoLeilao} setTipoLeilao={setTipoLeilao} />
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/glass/GlassHeader.jsx	50	Leilao	<ModeSelector tipoLeilao={tipoLeilao} setTipoLeilao={setTipoLeilao} />
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/glass/GlassHeader.jsx	50	Leilao	<ModeSelector tipoLeilao={tipoLeilao} setTipoLeilao={setTipoLeilao} />
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/glass/glassTokens.js	1	Lances	// MC66 — paleta compartilhada do Glass da aba Lances (extraída de MercadoLances.jsx).
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/glass/glassTokens.js	1	Lances	// MC66 — paleta compartilhada do Glass da aba Lances (extraída de MercadoLances.jsx).
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/glass/ModeSelector.jsx	1	Lances	// MC66 — ModeSelector extraído de MercadoLances.jsx.
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/glass/ModeSelector.jsx	11	Leilao	export default function ModeSelector({ tipoLeilao, setTipoLeilao }) {
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/glass/ModeSelector.jsx	11	Leilao	export default function ModeSelector({ tipoLeilao, setTipoLeilao }) {
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/glass/ModeSelector.jsx	16	Leilao	const ativo = tipoLeilao === id;
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/glass/ModeSelector.jsx	20	Leilao	onClick={() => setTipoLeilao(id)}
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/LanceStatusBadge.jsx	3	LanceS	export default function LanceStatusBadge({ valor, status, mudou }) {
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/LanceStatusBadge.jsx	8	LANCE	<p className="text-white/60 text-sm mb-1">O SEU ÚLTIMO LANCE</p>
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/LanceStatusBadge.jsx	33	lance	<span className="font-medium">Repetido — dê um novo lance!</span>
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/LanceStatusBadge.jsx	45	lance	⚠️ O seu lance deixou de ser único! Tente outro valor.
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/PainelIndicacao.jsx	81	lance	const texto = `🎯 Te convido para o DesafioGUT! Use meu código ${dados.codigo} e, no teu 1º lance, nós dois ganhamos +1 senha.`;
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/PainelIndicacao.jsx	168	lance	<strong style={{ color: COR.primary }}> 1º lance, vocês dois ganham +1 senha! </strong>
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	3	Lance	import { sanitizeAddress, sanitizeString, sanitizeLance } from "../utils/sanitize.js";
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	11	Lances	function ordenarLances(lances) {
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	11	lances	function ordenarLances(lances) {
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/TabelaLances.jsx	12	lances	// MC28.1: cmp null-safe — lances blindados (valor null em mainnet) mantêm ordem
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	15	lances	const unicos    = lances.filter((l) => !l.repetido).sort(cmp);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	16	lances	const repetidos = lances.filter((l) =>  l.repetido).sort(cmp);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	26	lance	function nomeOuEndereco(lance, enderecoAbrev) {
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	27	lance	return lance.nomeExibicao || enderecoAbrev;
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	30	Lances	export default function TabelaLances({ lances = [], idEdicao, prazoTimestamp, encerrado: encerradoProp }) {
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	30	lances	export default function TabelaLances({ lances = [], idEdicao, prazoTimestamp, encerrado: encerradoProp }) {
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/TabelaLances.jsx	42	leilão	// do Dashboard: provava que o leilão estava a decorrer. Só se mostra quando a
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/TabelaLances.jsx	49	lances	// re-render do pai (ex.: tick do timer) quando `lances` não mudou. Resultado idêntico.
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	50	lances	const lancesOrdenados = useMemo(() => ordenarLances(lances), [lances]);
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TabelaLances.jsx	50	Lances	const lancesOrdenados = useMemo(() => ordenarLances(lances), [lances]);
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TabelaLances.jsx	50	lances	const lancesOrdenados = useMemo(() => ordenarLances(lances), [lances]);
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TabelaLances.jsx	50	lances	const lancesOrdenados = useMemo(() => ordenarLances(lances), [lances]);
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TabelaLances.jsx	51	lances	const idxVencedor = useMemo(() => lancesOrdenados.findIndex((l) => !l.repetido), [lancesOrdenados]);
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TabelaLances.jsx	51	lances	const idxVencedor = useMemo(() => lancesOrdenados.findIndex((l) => !l.repetido), [lancesOrdenados]);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	91	Lances	📋 Lances — Edição{" "}
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	112	lances	{!encerrado && lances.length > 0 && (
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	120	lances	{lances.length === 0 ? (
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TabelaLances.jsx	128	lance	<span style={{ fontSize: isMobile ? "0.85rem" : "0.9rem" }}>Nenhum lance registrado ainda.</span>
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	132	lances	<MobileList lancesOrdenados={lancesOrdenados} idxVencedor={idxVencedor} encerrado={encerrado} />
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	132	lances	<MobileList lancesOrdenados={lancesOrdenados} idxVencedor={idxVencedor} encerrado={encerrado} />
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	134	lances	<DesktopTable lancesOrdenados={lancesOrdenados} idxVencedor={idxVencedor} encerrado={encerrado} />
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	134	lances	<DesktopTable lancesOrdenados={lancesOrdenados} idxVencedor={idxVencedor} encerrado={encerrado} />
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	148	lances	function MobileList({ lancesOrdenados, idxVencedor, encerrado }) {
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	152	lances	{lancesOrdenados.map((lance, i) => {
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	152	lance	{lancesOrdenados.map((lance, i) => {
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	154	lance	const oculto = lance.oculto === true;
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	155	lance	const enderecoSanitizado = sanitizeAddress(lance.endereco ?? "");
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	156	Lance	const valorSanitizado = oculto ? null : sanitizeLance(lance.valor);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	156	lance	const valorSanitizado = oculto ? null : sanitizeLance(lance.valor);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	157	lance	const txHash = sanitizeString(lance.txHash ?? "");
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	160	lance	const repetido   = !oculto && lance.repetido === true;
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	165	lance	const nome       = nomeOuEndereco(lance, enderecoAbrev);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	244	lances	function DesktopTable({ lancesOrdenados, idxVencedor, encerrado }) {
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TabelaLances.jsx	254	Lance	<TH>ID do Lance</TH>
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	259	lances	{lancesOrdenados.map((lance, i) => {
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	259	lance	{lancesOrdenados.map((lance, i) => {
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	261	lance	const oculto = lance.oculto === true;
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	262	lance	const enderecoSanitizado = sanitizeAddress(lance.endereco ?? "");
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	263	Lance	const valorSanitizado = oculto ? null : sanitizeLance(lance.valor);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	263	lance	const valorSanitizado = oculto ? null : sanitizeLance(lance.valor);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	264	lance	const txHash = sanitizeString(lance.txHash ?? "");
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	267	lance	const repetido   = !oculto && lance.repetido === true;
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	272	lance	const nome       = nomeOuEndereco(lance, enderecoAbrev);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TermosConsentimento.jsx	90	lances	comprar senhas e realizar lances.
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TermosConsentimento.jsx	96	LANCE	<strong style={{ color: "#f5a623" }}>O MENOR LANCE ÚNICO GANHA.</strong>
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TermosConsentimento.jsx	101	lances	lances indeterminados através de senhas, escolhendo a versão Relâmpago (Flash) ou
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TermosConsentimento.jsx	136	lance	<li>a) <em>"Seu lance é o menor e único até agora, parabéns"</em></li>
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TermosConsentimento.jsx	137	lance	<li>b) <em>"Seu lance não é o menor mas é único, tente novamente"</em></li>
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TermosConsentimento.jsx	138	lance	<li>c) <em>"Já recebemos um lance igual ao seu, tente novamente"</em></li>
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TermosConsentimento.jsx	140	Lance	<li>e) <em>"Lance inválido — envie apenas o valor, ex: 0,01"</em></li>
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TermosConsentimento.jsx	145	lances	<strong style={estilos.artLabel}>Art. 26</strong> — A apuração dos lances é
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TermosConsentimento.jsx	151	lance	qualquer valor de lance a partir de{" "}
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TermosConsentimento.jsx	197	Lance	<span>Aceito os Termos de Participação, o mecanismo "Menor Lance Único Ganha" (Art. 8) e as regras de lance (Art. 27).</span>
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TermosConsentimento.jsx	197	lance	<span>Aceito os Termos de Participação, o mecanismo "Menor Lance Único Ganha" (Art. 8) e as regras de lance (Art. 27).</span>
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/context/AppContext.jsx	5	Lance	subscribeLanceDado,
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/context/AppContext.jsx	30	leilao	} from "../lib/leilaoTimer.js";
