AREA	BALDE	FICHEIRO	LINHA	COL	TERMO	TRECHO
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/glass/glassTokens.js	1	48	Lances	// MC66 — paleta compartilhada do Glass da aba Lances (extraída de MercadoLances.jsx).
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/LanceStatusBadge.jsx	8	62	LANCE	<p className="text-white/60 text-sm mb-1">O SEU ÚLTIMO LANCE</p>
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/LanceStatusBadge.jsx	33	65	lance	<span className="font-medium">Repetido — dê um novo lance!</span>
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/LanceStatusBadge.jsx	45	22	lance	⚠️ O seu lance deixou de ser único! Tente outro valor.
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/PainelIndicacao.jsx	81	97	lance	const texto = `🎯 Te convido para o DesafioGUT! Use meu código ${dados.codigo} e, no teu 1º lance, nós dois ganhamos +1 senha.`;
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/PainelIndicacao.jsx	168	52	lance	<strong style={{ color: COR.primary }}> 1º lance, vocês dois ganham +1 senha! </strong>
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	11	24	lances	function ordenarLances(lances) {
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/TabelaLances.jsx	12	30	lances	// MC28.1: cmp null-safe — lances blindados (valor null em mainnet) mantêm ordem
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	15	21	lances	const unicos    = lances.filter((l) => !l.repetido).sort(cmp);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	16	21	lances	const repetidos = lances.filter((l) =>  l.repetido).sort(cmp);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	26	25	lance	function nomeOuEndereco(lance, enderecoAbrev) {
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	27	10	lance	return lance.nomeExibicao || enderecoAbrev;
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	30	40	lances	export default function TabelaLances({ lances = [], idEdicao, prazoTimestamp, encerrado: encerradoProp }) {
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/TabelaLances.jsx	42	34	leilão	// do Dashboard: provava que o leilão estava a decorrer. Só se mostra quando a
FRONTEND	COMENTARIO	desafio-gut/frontend/src/components/TabelaLances.jsx	49	52	lances	// re-render do pai (ex.: tick do timer) quando `lances` não mudou. Resultado idêntico.
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TabelaLances.jsx	50	55	lances	const lancesOrdenados = useMemo(() => ordenarLances(lances), [lances]);
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TabelaLances.jsx	50	65	lances	const lancesOrdenados = useMemo(() => ordenarLances(lances), [lances]);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	91	14	Lances	📋 Lances — Edição{" "}
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	112	26	lances	{!encerrado && lances.length > 0 && (
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	120	8	lances	{lances.length === 0 ? (
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TabelaLances.jsx	128	78	lance	<span style={{ fontSize: isMobile ? "0.85rem" : "0.9rem" }}>Nenhum lance registrado ainda.</span>
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	152	31	lance	{lancesOrdenados.map((lance, i) => {
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	154	26	lance	const oculto = lance.oculto === true;
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	155	54	lance	const enderecoSanitizado = sanitizeAddress(lance.endereco ?? "");
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	156	65	lance	const valorSanitizado = oculto ? null : sanitizeLance(lance.valor);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	157	41	lance	const txHash = sanitizeString(lance.txHash ?? "");
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	160	41	lance	const repetido   = !oculto && lance.repetido === true;
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	165	45	lance	const nome       = nomeOuEndereco(lance, enderecoAbrev);
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TabelaLances.jsx	254	23	Lance	<TH>ID do Lance</TH>
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	259	35	lance	{lancesOrdenados.map((lance, i) => {
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	261	30	lance	const oculto = lance.oculto === true;
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	262	58	lance	const enderecoSanitizado = sanitizeAddress(lance.endereco ?? "");
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	263	69	lance	const valorSanitizado = oculto ? null : sanitizeLance(lance.valor);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	264	45	lance	const txHash = sanitizeString(lance.txHash ?? "");
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	267	45	lance	const repetido   = !oculto && lance.repetido === true;
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TabelaLances.jsx	272	49	lance	const nome       = nomeOuEndereco(lance, enderecoAbrev);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TermosConsentimento.jsx	90	39	lances	comprar senhas e realizar lances.
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TermosConsentimento.jsx	96	58	LANCE	<strong style={{ color: "#f5a623" }}>O MENOR LANCE ÚNICO GANHA.</strong>
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TermosConsentimento.jsx	101	13	lances	lances indeterminados através de senhas, escolhendo a versão Relâmpago (Flash) ou
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TermosConsentimento.jsx	136	29	lance	<li>a) <em>"Seu lance é o menor e único até agora, parabéns"</em></li>
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TermosConsentimento.jsx	137	29	lance	<li>b) <em>"Seu lance não é o menor mas é único, tente novamente"</em></li>
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TermosConsentimento.jsx	138	41	lance	<li>c) <em>"Já recebemos um lance igual ao seu, tente novamente"</em></li>
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TermosConsentimento.jsx	140	25	Lance	<li>e) <em>"Lance inválido — envie apenas o valor, ex: 0,01"</em></li>
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TermosConsentimento.jsx	145	80	lances	<strong style={estilos.artLabel}>Art. 26</strong> — A apuração dos lances é
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/components/TermosConsentimento.jsx	151	31	lance	qualquer valor de lance a partir de{" "}
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TermosConsentimento.jsx	197	72	Lance	<span>Aceito os Termos de Participação, o mecanismo "Menor Lance Único Ganha" (Art. 8) e as regras de lance (Art. 27).</span>
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/components/TermosConsentimento.jsx	197	115	lance	<span>Aceito os Termos de Participação, o mecanismo "Menor Lance Único Ganha" (Art. 8) e as regras de lance (Art. 27).</span>
FRONTEND	COMENTARIO	desafio-gut/frontend/src/context/AppContext.jsx	42	24	leilão	// porque cada tipo de leilão guarda seu próprio prazo no localStorage. Cálculo
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/context/AppContext.jsx	71	8	lances	"gut_lances_r1",
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/context/AppContext.jsx	72	4	lances	"lances",
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/context/AppContext.jsx	73	7	LANCES	"LS_LANCES",
FRONTEND	COMENTARIO	desafio-gut/frontend/src/context/AppContext.jsx	168	14	leilão	// Tipo de leilão (Art. 8)
FRONTEND	COMENTARIO	desafio-gut/frontend/src/context/AppContext.jsx	176	6	lances	// lances on-chain (programado). lancesFlash off-chain (polling do blob).
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/context/AppContext.jsx	177	10	lances	const [lances,       setLances]       = useState([]);
FRONTEND	COMENTARIO	desafio-gut/frontend/src/context/AppContext.jsx	199	45	leilão	// ficou só a máquina de estado de fim de leilão (encerrado/overlay/lightning).
FRONTEND	COMENTARIO	desafio-gut/frontend/src/context/AppContext.jsx	326	58	lance	// PIX aprovado = +R$. /comprar-senhas = -R$ +senhas. /lance-relampago = -R$.
FRONTEND	COMENTARIO	desafio-gut/frontend/src/context/AppContext.jsx	519	46	leilão	// e o que lhe aparecia era o dashboard de leilão: KPIs de lances, saldo de
FRONTEND	COMENTARIO	desafio-gut/frontend/src/context/AppContext.jsx	519	62	lances	// e o que lhe aparecia era o dashboard de leilão: KPIs de lances, saldo de
FRONTEND	COMENTARIO	desafio-gut/frontend/src/context/AppContext.jsx	653	42	lance	// a única fonte para HABILITAR ações (lance, compra, assinatura).
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/context/AppContext.jsx	688	65	lances	const lancesExibidos = tipoLeilao === "flash" ? lancesFlash : lances;
FRONTEND	COMENTARIO	desafio-gut/frontend/src/context/AppContext.jsx	690	23	Lance	// Vencedor — Menor Lance Único (Art. 8)
FRONTEND	COMENTARIO	desafio-gut/frontend/src/context/AppContext.jsx	711	34	lances	// Purga Blob server-side de lances residuais da Edição R-1 (one-shot,
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/context/AppContext.jsx	713	38	lances	fetch("/.netlify/functions/purge-lances", {
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/context/AppContext.jsx	718	53	lances	if (!resp.ok) console.warn("[GUT-DEBUG] purge-lances HTTP", resp.status);
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/context/AppContext.jsx	720	39	lances	console.warn("[GUT-DEBUG] purge-lances falhou", err?.message);
FRONTEND	COMENTARIO	desafio-gut/frontend/src/context/AppContext.jsx	738	17	lances	// Polling de lances flash do blob (cross-user em tempo real).
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/context/AppContext.jsx	761	44	lances	const { ok, data } = await apiGet(`lances-flash?edicaoId=${EDICAO_ATIVA}`);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/context/AppContext.jsx	763	45	lances	if (!cancelado) setLancesFlash(data.lances || []);
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/context/AppContext.jsx	773	59	lance	const unsubscribe = subscribeLanceDado(EDICAO_ATIVA, (lance) => {
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/context/AppContext.jsx	775	43	lance	if (prev.some((l) => l.txHash === lance.txHash)) return prev; // dedup
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/context/AppContext.jsx	776	23	lance	const valor = lance.valor;
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/context/AppContext.jsx	780	23	lance	endereco: lance.endereco,
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/context/AppContext.jsx	782	23	lance	repetido: lance.repetido || prev.some((l) => l.valor === valor),
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/context/AppContext.jsx	783	23	lance	txHash:   lance.txHash,
FRONTEND	COMENTARIO	desafio-gut/frontend/src/context/AppContext.jsx	827	67	lances	// MC91.11 — saldo EFETIVO (on-chain − senhas consumidas em lances
FRONTEND	COMENTARIO	desafio-gut/frontend/src/context/AppContext.jsx	1029	6	lances	// lances é server-side (gate 503 nas Functions — R10); aqui é só UX/congelamento.
FRONTEND	COMENTARIO	desafio-gut/frontend/src/context/AppContext.jsx	1131	24	leilão	// Máquina de fim de leilão. Cálculo é ABSOLUTO: `prazo - now`. O setInterval
FRONTEND	COMENTARIO	desafio-gut/frontend/src/context/AppContext.jsx	1134	36	leilão	// re-renderiza apenas no fim do leilão, não a cada tick.
FRONTEND	COMENTARIO	desafio-gut/frontend/src/context/AppContext.jsx	1236	48	lances	// Sentry security alert: detecta burst de lances por endereço (>10/min)
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/context/AppContext.jsx	1284	5	lances	lances: lancesExibidos,
FRONTEND	COMENTARIO	desafio-gut/frontend/src/context/useAppContextEnvironment.jsx	11	19	lances	//   activeTab : 'lances' | 'carteira' | 'perfil' | 'guto'   (derivado da rota)
FRONTEND	COMENTARIO	desafio-gut/frontend/src/context/useAppContextEnvironment.jsx	16	54	leilão	//   celebration → disparado no fim de uma rodada de leilão com vencedor.
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/context/useAppContextEnvironment.jsx	48	94	lances	if (p === "/" || p.startsWith("/mercado") || p.startsWith("/corporativo/mercado")) return "lances";
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/context/useAppContextEnvironment.jsx	52	11	lances	return "lances";
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/context/useAppContextEnvironment.jsx	128	19	lances	activeTab: "lances",
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/globals.css	361	36	Lances	Todos os itens do dock (Início, Lances, Carteira, Mais) recebem a MESMA cápsula
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/globals.css	373	58	Lances	Extraído dos 4 cards KPI do Dashboard (Saldo, Senhas, Lances Únicos, Total de
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/globals.css	374	4	Lances	Lances). Navy-based fixo (rgba(13,18,53,0.25)), blur SEMPRE ligado (mobile +
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/hooks/useEdicoes.js	52	7	lances	lances: 0,
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/hooks/useEdicoes.js	77	7	lances	lances: Number.isFinite(e.lances) ? e.lances : 0,
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/hooks/useEdicoes.js	77	33	lances	lances: Number.isFinite(e.lances) ? e.lances : 0,
FRONTEND	IDENTIFICADOR	desafio-gut/frontend/src/hooks/useEdicoes.js	77	45	lances	lances: Number.isFinite(e.lances) ? e.lances : 0,
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/hooks/useLanceFeedback.js	21	12	lances	`lances-flash?edicaoId=${encodeURIComponent(edicaoId)}&acao=verificar&valor=${encodeURIComponent(meuValor)}`
FRONTEND	COMENTARIO	desafio-gut/frontend/src/hooks/useRealtimeConfig.js	8	21	lances	// NUNCA subscreve `lances` (a RLS oculta-os do anon de propósito — anti-sniping).
FRONTEND	COMENTARIO	desafio-gut/frontend/src/hooks/useRecursosApp.js	12	73	leilão	//      logo o utilizador iOS/Android em Safari/Chrome continua a ver o leilão).
FRONTEND	COMENTARIO	desafio-gut/frontend/src/hooks/useRecursosApp.js	15	70	leilão	// DEFAULT local resolvido para a plataforma detetada — pwa mantém o leilão ativo.
FRONTEND	COMENTARIO	desafio-gut/frontend/src/hooks/useShakeOnError.js	10	52	lance	// NOTA: o ITEM 10 (optimistic updates no fluxo de lance on-chain) foi ADIADO por
FRONTEND	COMENTARIO	desafio-gut/frontend/src/hooks/useTrocarPorSenhas.js	6	11	lance	//   auth-lance (JWT lance-auth, assinatura EIP-191) -> comprar-senhas
FRONTEND	COMENTARIO	desafio-gut/frontend/src/hooks/useTrocarPorSenhas.js	6	22	lance	//   auth-lance (JWT lance-auth, assinatura EIP-191) -> comprar-senhas
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/hooks/useTrocarPorSenhas.js	45	46	lance	const { ok, data } = await apiPost("auth-lance", { endereco: address, signature, message });
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/i18n/en.js	4	8	lances	"nav.lances": "Bids",
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/i18n/en.js	4	18	Bids	"nav.lances": "Bids",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/i18n/en.js	23	58	bid	"dash.facaLogin": "Sign in to take part and place your bid now.",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/i18n/en.js	26	32	Bids	"dash.lancesUnicos": "Unique Bids",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/i18n/en.js	27	30	Bids	"dash.totalLances": "Total Bids",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/i18n/en.js	31	45	Bid	"dash.menorLanceUnico": "🏆 Lowest Unique Bid",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/i18n/en.js	32	39	bid	"dash.nenhumLanceUnico": "No unique bid yet.",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/i18n/en.js	46	30	bids	"config.notifLances": "New bids in the edition",
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/i18n/es.js	4	8	lances	"nav.lances": "Pujas",
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/i18n/es.js	4	18	Pujas	"nav.lances": "Pujas",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/i18n/es.js	23	63	puja	"dash.facaLogin": "Inicia sesión para participar y hacer tu puja ahora.",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/i18n/es.js	26	25	Pujas	"dash.lancesUnicos": "Pujas Únicas",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/i18n/es.js	27	33	Pujas	"dash.totalLances": "Total de Pujas",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/i18n/es.js	31	31	Puja	"dash.menorLanceUnico": "🏆 Puja Única Más Baja",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/i18n/es.js	32	40	puja	"dash.nenhumLanceUnico": "Aún no hay puja única.",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/i18n/es.js	46	33	pujas	"config.notifLances": "Nuevas pujas en la edición",
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/i18n/pt.js	6	8	lances	"nav.lances": "Lances",
FRONTEND	STRING-TECNICA	desafio-gut/frontend/src/i18n/pt.js	6	18	Lances	"nav.lances": "Lances",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/i18n/pt.js	26	59	lance	"dash.facaLogin": "Faça login para participar e dar seu lance agora.",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/i18n/pt.js	29	25	Lances	"dash.lancesUnicos": "Lances Únicos",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/i18n/pt.js	30	33	Lances	"dash.totalLances": "Total de Lances",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/i18n/pt.js	35	37	Lance	"dash.menorLanceUnico": "🏆 Menor Lance Único",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/i18n/pt.js	36	36	lance	"dash.nenhumLanceUnico": "Nenhum lance único ainda.",
FRONTEND	TEXTO-UI	desafio-gut/frontend/src/i18n/pt.js	51	32	lances	"config.notifLances": "Novos lances na edição",
